Luminosité moyenne,Trop lumineuse,Trop sombre,Contraste global (std),Faible contraste,Niveau de netteté (Laplacian),Floue,Nb lignes détectées,% lignes horizontales,% lignes verticales,Image
131.76,False,False,51.22,False,272.92,False,176,9.66,37.5,stair_00.jpg
134.18,False,False,44.31,False,110.14,False,47169,16.56,16.07,Groupe5_image07.jpg
112.76,False,False,56.84,False,700.09,False,90783,11.15,19.91,Groupe5_image05.jpg
107.85,False,False,63.33,False,543.76,False,74902,11.27,17.22,Groupe5_image03.jpg
108.32,False,False,58.36,False,362.91,False,60377,15.39,12.72,Groupe5_image02.jpg
121.94,False,False,61.2,False,324.11,False,8678,19.72,16.51,Groupe5_image15.jpeg
147.99,False,False,44.5,False,1275.03,False,25071,18.98,16.72,Groupe5_image13.jpeg
129.69,False,False,57.58,False,277.16,False,84601,12.18,20.13,Groupe5_image04.jpg
126.51,False,False,47.0,False,1079.15,False,27896,16.19,17.91,Groupe5_image17.jpeg
87.43,False,False,44.12,False,245.84,False,1349,54.34,16.83,Groupe5_image09.jpg
147.74,False,False,53.33,False,111.89,False,4527,21.82,16.59,Groupe5_image16.jpeg
129.15,False,False,52.7,False,831.36,False,14644,19.91,17.37,Groupe5_image10.jpeg
111.67,False,False,45.89,False,1422.28,False,7498,23.55,12.43,Groupe5_image11.jpeg
134.29,False,False,61.4,False,156.47,False,2983,38.59,8.01,Groupe5_image08.jpg
111.65,False,False,71.8,False,540.48,False,5095,25.0,15.78,Groupe5_image18.jpeg
100.92,False,False,44.15,False,1524.2,False,481,47.4,34.3,Groupe5_image12.jpeg
90.52,False,False,66.14,False,170.53,False,3756,3.35,53.97,Groupe5_image01.jpg
70.27,False,False,57.62,False,503.23,False,8501,16.0,20.57,Groupe5_image14.jpeg
72.56,False,False,43.65,False,40.11,True,9223,36.76,13.36,Groupe5_image06.jpg
87.39,False,False,60.56,False,3933.72,False,35742,20.97,12.39,t3i9.jpg
116.32,False,False,23.87,True,63.85,False,11,0.0,100.0,t3i16.png
114.18,False,False,46.87,False,47.84,True,4507,22.63,22.74,t3i1.jpg
104.32,False,False,53.89,False,345.93,False,62415,18.04,12.92,t3i13.jpg
147.24,False,False,35.01,False,729.01,False,76822,17.47,13.05,t3i11.jpeg
136.31,False,False,44.01,False,935.33,False,97230,14.33,16.12,t3i21.jpeg
103.79,False,False,68.64,False,6012.96,False,31470,14.74,18.66,t3i8.jpg
154.47,False,False,77.02,False,1429.45,False,18572,15.08,16.19,t3i6.jpg
72.32,False,False,28.04,True,38.51,True,215,13.49,82.79,t3i23.jpg
91.74,False,False,56.97,False,244.45,False,59950,20.08,12.41,t3i12.jpg
89.3,False,False,45.3,False,177.14,False,34734,17.58,16.12,t3i24.jpg
158.7,False,False,50.44,False,443.08,False,293,43.0,40.61,t3i25.jpg
97.61,False,False,78.82,False,3517.89,False,29733,11.65,21.68,t3i4.jpg
134.47,False,False,54.8,False,86.88,False,25931,15.58,17.55,t3i29.jpg
140.81,False,False,67.66,False,3721.65,False,50689,19.86,12.39,t3i10.jpg
137.84,False,False,63.68,False,1017.47,False,22634,16.95,16.2,t3i26.jpg
130.65,False,False,62.51,False,43.42,True,905,55.58,41.1,t3i30.jpg
155.29,False,False,45.93,False,975.84,False,68328,18.51,14.51,t3i14.jpeg
76.55,False,False,51.56,False,158.74,False,62515,20.15,10.3,t3i15.jpg
134.47,False,False,54.8,False,86.88,False,25931,15.58,17.55,t3i2.jpg
147.52,False,False,72.07,False,3064.69,False,26368,13.03,20.66,t3i3.jpg
117.66,False,False,17.82,True,55.1,False,26,0.0,100.0,t3i19.png
122.22,False,False,23.4,True,144.73,False,44,0.0,100.0,t3i17.png
85.0,False,False,48.71,False,7051.69,False,38177,12.59,19.65,t3i5.jpg
117.74,False,False,15.26,True,29.64,True,11,0.0,100.0,t3i20.png
133.53,False,False,58.4,False,194.87,False,20786,24.7,12.52,t3i27.jpg
114.41,False,False,23.07,True,66.06,False,25,0.0,100.0,t3i18.png
122.56,False,False,41.65,False,30.54,True,338,55.33,32.25,t3i28.jpg
130.49,False,False,51.09,False,75.44,False,935,60.75,14.33,t3i22.png
92.77,False,False,60.67,False,915.22,False,22713,15.44,19.16,t3i7.jpg
129.55,False,False,52.15,False,145.19,False,105070,15.74,17.18,Groupe6_image1.jpg
132.79,False,False,56.98,False,352.46,False,144486,14.15,17.43,Groupe6_image2.jpg
153.61,False,False,44.72,False,19.96,True,55,29.09,32.73,Groupe6_image7.jpg
100.88,False,False,71.17,False,250.35,False,84154,14.89,16.6,Groupe6_image6.jpg
77.39,False,False,58.18,False,78.02,False,34427,14.77,19.14,Groupe6_image10.jpg
80.84,False,False,38.56,False,377.27,False,7860,27.62,15.27,Groupe6_image9.jpg
110.39,False,False,61.32,False,729.19,False,44078,17.1,16.77,Groupe6_image5.jpg
72.75,False,False,63.85,False,89.23,False,2407,32.65,9.26,Groupe6_image3.jpg
136.46,False,False,43.92,False,29.5,True,234,43.16,40.17,Groupe6_image8.jpg
136.49,False,False,61.57,False,20.58,True,244,61.48,30.74,Groupe6_image4.jpg
135.84,False,False,59.52,False,269.0,False,51843,21.05,14.09,grp7img2.jpeg
103.78,False,False,58.43,False,231.72,False,65512,18.68,17.31,grp7img5.jpeg
131.62,False,False,49.68,False,474.64,False,103827,14.45,17.14,grp7img11.jpg
128.0,False,False,54.25,False,214.07,False,89547,13.5,17.56,grp7img12.jpg
129.85,False,False,47.96,False,132.28,False,27126,20.8,15.06,grp7img3.jpeg
158.55,False,False,56.65,False,507.52,False,60395,19.71,13.12,grp7img4.jpeg
121.62,False,False,52.04,False,641.9,False,74644,14.94,17.98,grp7img1.jpeg
110.5,False,False,62.48,False,291.96,False,91097,13.68,17.0,grp7img10.jpg
124.04,False,False,51.24,False,98.14,False,51436,19.96,13.14,Groupe1_Image6.jpg
109.81,False,False,51.62,False,242.36,False,82005,16.61,12.89,Groupe1_Image4.jpg
98.69,False,False,56.17,False,300.37,False,5024,32.68,20.28,Groupe1_Image3.jpg
103.2,False,False,47.84,False,289.07,False,76996,17.25,14.89,Groupe1_Image5.jpg
92.11,False,False,60.34,False,89.79,False,716,26.82,72.77,Groupe1_Image1.jpg
80.19,False,False,50.01,False,17.15,True,143,0.0,100.0,Groupe1_Image7.jpg
121.27,False,False,47.24,False,256.92,False,16915,13.73,18.32,Groupe1_Image2.jpg
87.08,False,False,73.75,False,712.62,False,13478,22.07,16.94,Groupe1_Image10.jpg
118.65,False,False,29.76,True,18.24,True,211,10.43,89.57,Groupe1_Image8.jpg
134.92,False,False,41.89,False,7.49,True,54,9.26,75.93,Groupe1_Image9.jpg
109.91,False,False,49.94,False,93.9,False,7620,21.96,12.1,Groupe2_Image10.jpg
87.67,False,False,56.04,False,153.91,False,35281,18.86,15.66,Groupe2_Image8.jpg
150.81,False,False,73.64,False,120.86,False,671,7.75,9.24,Groupe2_Image3.jpeg
100.14,False,False,54.63,False,77.88,False,13418,15.17,21.25,Groupe2_Image9.jpg
99.91,False,False,40.67,False,192.99,False,9389,19.98,14.7,Groupe2_Image7.jpeg
99.58,False,False,55.11,False,506.93,False,77601,15.02,15.51,Groupe2_Image11.jpg
165.02,False,False,33.83,False,572.1,False,20146,19.65,15.42,Groupe2_Image1.jpeg
140.64,False,False,66.31,False,92.07,False,36,47.22,50.0,Groupe2_Image5.jpeg
93.68,False,False,60.69,False,41.57,True,1367,31.16,53.62,Groupe2_Image4.png
118.78,False,False,59.26,False,447.35,False,62433,13.21,16.87,Groupe2_Image12.png
87.11,False,False,55.44,False,199.28,False,63114,19.22,13.97,Groupe2_Image13.png
127.22,False,False,39.67,False,296.44,False,12471,24.54,16.19,Groupe2_Image2.jpeg
139.15,False,False,36.73,False,230.6,False,12,16.67,41.67,Groupe2_Image6.jpeg
145.82,False,False,58.42,False,164.29,False,252,24.21,28.57,img2.jpg
112.01,False,False,64.84,False,151.7,False,1164,56.79,10.05,img7.png
114.23,False,False,68.49,False,683.23,False,13968,23.84,12.88,img8.png
88.86,False,False,57.43,False,122.6,False,53210,15.95,17.09,img6.jpg
87.8,False,False,61.02,False,807.11,False,19074,18.08,16.5,img1.png
94.22,False,False,70.59,False,136.84,False,55549,11.92,21.54,img5.jpg
125.57,False,False,45.51,False,261.55,False,93500,10.3,19.06,img4.jpg
104.72,False,False,65.88,False,418.12,False,19229,20.62,12.51,img9.png
86.94,False,False,42.72,False,273.92,False,33886,18.78,15.79,img3.png
